cluster,ts,model,bucket,model_p,market_p,realized,event,consistency_residual
istanbul/2026-05-24,2026-05-24T12:20:00+00:00,recorded_legacy,higher:23,0,0.005000000000000001,0,istanbul/2026-05-24/2026-05-24T12:20:00+00:00,0.08546123672312778
istanbul/2026-05-25,2026-05-25T12:20:00+00:00,recorded_legacy,exact:21,0.7761,0.48000000000000004,0,istanbul/2026-05-25/2026-05-25T12:20:00+00:00,0.008663075238181328
istanbul/2026-05-25,2026-05-25T12:20:00+00:00,recorded_legacy,exact:22,0.2194,0.515,0,istanbul/2026-05-25/2026-05-25T12:20:00+00:00,0.008663075238181328
istanbul/2026-05-25,2026-05-25T12:20:00+00:00,recorded_legacy,exact:23,0.0045,0.07500000000000001,1,istanbul/2026-05-25/2026-05-25T12:20:00+00:00,0.008663075238181328
istanbul/2026-05-25,2026-05-25T12:20:00+00:00,recorded_legacy,exact:24,0.0,0.012500000000000004,0,istanbul/2026-05-25/2026-05-25T12:20:00+00:00,0.008663075238181328
istanbul/2026-05-25,2026-05-25T12:20:00+00:00,recorded_legacy,exact:25,0.0,0.005000000000000001,0,istanbul/2026-05-25/2026-05-25T12:20:00+00:00,0.008663075238181328
istanbul/2026-05-25,2026-05-25T12:20:00+00:00,recorded_legacy,higher:26,0,0.0020000000000000005,0,istanbul/2026-05-25/2026-05-25T12:20:00+00:00,0.008663075238181328
istanbul/2026-05-25,2026-05-25T12:50:00+00:00,recorded_legacy,exact:21,0.9185,0.76,0,istanbul/2026-05-25/2026-05-25T12:50:00+00:00,0.09408719247494979
istanbul/2026-05-25,2026-05-25T12:50:00+00:00,recorded_legacy,exact:22,0.0811,0.15,0,istanbul/2026-05-25/2026-05-25T12:50:00+00:00,0.09408719247494979
istanbul/2026-05-25,2026-05-25T12:50:00+00:00,recorded_legacy,exact:23,0.0004,0.03500000000000001,1,istanbul/2026-05-25/2026-05-25T12:50:00+00:00,0.09408719247494979
istanbul/2026-05-25,2026-05-25T12:50:00+00:00,recorded_legacy,exact:24,0.0,0.0125,0,istanbul/2026-05-25/2026-05-25T12:50:00+00:00,0.09408719247494979
istanbul/2026-05-25,2026-05-25T12:50:00+00:00,recorded_legacy,exact:25,0.0,0.0045000000000000005,0,istanbul/2026-05-25/2026-05-25T12:50:00+00:00,0.09408719247494979
istanbul/2026-05-25,2026-05-25T13:20:00+00:00,recorded_legacy,exact:22,1.0,0.835,0,istanbul/2026-05-25/2026-05-25T13:20:00+00:00,0.037871159690844314
istanbul/2026-05-25,2026-05-25T13:20:00+00:00,recorded_legacy,exact:23,0.0,0.128,1,istanbul/2026-05-25/2026-05-25T13:20:00+00:00,0.037871159690844314
istanbul/2026-05-25,2026-05-25T13:20:00+00:00,recorded_legacy,exact:24,0.0,0.013000000000000001,0,istanbul/2026-05-25/2026-05-25T13:20:00+00:00,0.037871159690844314
istanbul/2026-05-25,2026-05-25T13:20:00+00:00,recorded_legacy,exact:25,0.0,0.0055000000000000005,0,istanbul/2026-05-25/2026-05-25T13:20:00+00:00,0.037871159690844314
istanbul/2026-05-25,2026-05-25T13:50:00+00:00,recorded_legacy,exact:24,0.0,0.03999999999999998,0,istanbul/2026-05-25/2026-05-25T13:50:00+00:00,0.014571846566176605
istanbul/2026-05-25,2026-05-25T13:50:00+00:00,recorded_legacy,exact:25,0.0,0.0055000000000000005,0,istanbul/2026-05-25/2026-05-25T13:50:00+00:00,0.014571846566176605
istanbul/2026-05-25,2026-05-25T14:20:00+00:00,recorded_legacy,exact:23,0.9999,0.965,1,istanbul/2026-05-25/2026-05-25T14:20:00+00:00,0.13426925816633017
istanbul/2026-05-25,2026-05-25T14:20:00+00:00,recorded_legacy,exact:24,0.0001,0.024,0,istanbul/2026-05-25/2026-05-25T14:20:00+00:00,0.13426925816633017
istanbul/2026-05-25,2026-05-25T14:20:00+00:00,recorded_legacy,exact:25,0.0,0.0045000000000000005,0,istanbul/2026-05-25/2026-05-25T14:20:00+00:00,0.13426925816633017
istanbul/2026-06-06,2026-06-06T13:50:00+00:00,recorded_legacy,exact:22,0.0,0.777,1,istanbul/2026-06-06/2026-06-06T13:50:00+00:00,0.802182796317904
istanbul/2026-06-06,2026-06-06T13:50:00+00:00,recorded_legacy,exact:23,0.9978,0.16,0,istanbul/2026-06-06/2026-06-06T13:50:00+00:00,0.802182796317904
istanbul/2026-06-06,2026-06-06T13:50:00+00:00,recorded_legacy,exact:24,0.0022,0.04999999999999999,0,istanbul/2026-06-06/2026-06-06T13:50:00+00:00,0.802182796317904
istanbul/2026-06-06,2026-06-06T13:50:00+00:00,recorded_legacy,exact:25,0.0,0.0105,0,istanbul/2026-06-06/2026-06-06T13:50:00+00:00,0.802182796317904
istanbul/2026-06-06,2026-06-06T13:50:00+00:00,recorded_legacy,exact:26,0.0,0.005000000000000001,0,istanbul/2026-06-06/2026-06-06T13:50:00+00:00,0.802182796317904
istanbul/2026-06-06,2026-06-06T13:50:00+00:00,recorded_legacy,exact:27,0.0,0.0025000000000000005,0,istanbul/2026-06-06/2026-06-06T13:50:00+00:00,0.802182796317904
istanbul/2026-06-06,2026-06-06T14:20:00+00:00,recorded_legacy,exact:22,0.9996,0.813,1,istanbul/2026-06-06/2026-06-06T14:20:00+00:00,0.03972780666439979
istanbul/2026-06-06,2026-06-06T14:20:00+00:00,recorded_legacy,exact:23,0.0004,0.15500000000000003,0,istanbul/2026-06-06/2026-06-06T14:20:00+00:00,0.03972780666439979
